,logFC,AveExpr,t,P.Value,adj.P.Val,B
FABP4,-1714.12,953.34,-15.24144344,1.24E-07,0.001571011,-1.745571739
VOPP1,283.74,451.25,13.97882679,2.59E-07,0.001636525,-1.776294809
HLA-F,922.98,1400.07,11.51988041,1.31E-06,0.004169088,-1.86418301
CSK,286.64,376.66,10.93692474,2.02E-06,0.004169088,-1.893018466
APOD,-1402.62,758.63,-10.93245114,2.03E-06,0.004169088,-1.893255406
ITPKC,-59.78,49.37,-10.81870123,2.21E-06,0.004169088,-1.899366003
RAC2,332.36,247.92,10.73422996,2.36E-06,0.004169088,-1.904013008
IL1R1,-262.64,321.64,-10.58659428,2.64E-06,0.004169088,-1.912366537
FADS1,-82.28,75.98,-10.33652165,3.21E-06,0.004509441,-1.927223169
P2RY6,52.2,39.8,9.932698997,4.45E-06,0.005621188,-1.953257164
CRYAB,-943.56,695.64,-9.756325852,5.15E-06,0.005906957,-1.965492622
UCP2,640.9,775.83,9.62551746,5.75E-06,0.005906957,-1.974933647
GNE,-55.46,128.59,-9.537702191,6.19E-06,0.005906957,-1.981454482
HLA-DMA,926.8,1246.76,9.47154772,6.55E-06,0.005906957,-1.986466939
FANCC,229.86,233.17,9.311634159,7.52E-06,0.006308811,-1.998951174
IGKC,3023.68,1690.58,9.240563844,7.99E-06,0.006308811,-2.004672139
TRBC1,170.8,154.46,9.016301225,9.74E-06,0.007176426,-2.023457534
SLC36A1,50.32,75.94,8.961281013,1.02E-05,0.007176426,-2.028243188
DDIT4,-821.36,680.92,-8.623647055,1.39E-05,0.00917999,-2.059247929
SFPQ,-158.12,191.48,-8.565963522,1.47E-05,0.00917999,-2.064841549
FCN1,65.52,43.86,8.522664456,1.53E-05,0.00917999,-2.069100092
TYMS,63.5,56.73,8.417535297,1.68E-05,0.009669157,-2.079658314
CD247,87.96,58.02,8.266024214,1.94E-05,0.009803929,-2.095438857
CRYAB,-635.04,423.54,-8.245354842,1.98E-05,0.009803929,-2.097644997
